timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,ux,uy
1744752124.3832078,"-0.09,-0.14,0.02,0.00,-0.07,-0.01,3.32,165.14,-8.81,0.00,0.00"
1744752124.4059699,"-0.10,-0.14,0.08,-0.09,-0.10,-0.02,3.22,165.11,-8.82,0.00,0.00"
1744752124.4288578,"-0.12,-0.13,-0.00,-0.06,-0.10,0.04,3.25,165.11,-8.75,0.00,0.00"
1744752124.4520354,"-0.07,-0.12,0.05,-0.03,-0.10,0.01,3.28,165.12,-8.79,0.00,0.00"
1744752124.4756832,"-0.14,-0.09,0.01,-0.09,-0.05,0.02,3.22,165.16,-8.78,0.00,0.00"
1744752124.4987013,"-0.05,-0.10,-0.01,-0.04,-0.10,-0.02,3.28,165.11,-8.82,0.00,0.00"
1744752124.5219378,"-0.07,-0.11,-0.03,-0.07,-0.09,0.00,3.25,165.12,-8.79,0.00,0.00"
1744752124.5436516,"-0.09,-0.13,-0.05,-0.10,-0.11,-0.01,3.21,165.10,-8.81,0.00,0.00"
1744752124.5664203,"-0.10,-0.12,-0.05,-0.10,-0.06,-0.03,3.21,165.15,-8.83,0.00,0.00"
1744752124.59044,"-0.10,-0.12,0.01,-0.02,-0.08,0.01,3.29,165.13,-8.79,0.00,0.00"
1744752124.6134975,"-0.06,-0.13,0.01,0.01,-0.13,-0.01,3.32,165.08,-8.81,0.00,0.00"
1744752124.6360772,"-0.14,-0.17,-0.03,-0.02,-0.10,-0.04,3.29,165.11,-8.84,0.00,0.00"
1744752124.6590965,"-0.13,-0.13,-0.05,-0.07,-0.10,-0.02,3.25,165.11,-8.82,0.00,0.00"
1744752124.6825187,"-0.12,-0.10,-0.01,-0.07,-0.10,-0.03,3.24,165.11,-8.83,0.00,0.00"
1744752124.704945,"-0.15,-0.10,0.01,-0.10,-0.11,-0.01,3.21,165.10,-8.81,0.00,0.00"
1744752124.7289891,"-0.16,-0.11,-0.01,-0.04,-0.10,0.09,3.27,165.11,-8.70,0.00,0.00"
