Timestamp,X,Y,Z,Roll,Pitch,ux,uy
1744755288,-0.0151976,0.315484,0.118679,-2.49361,0.101262,-140.9,-66.46
1744755288,-0.0121403,0.279755,0.148945,-3.03805,0.0582589,-5.21,-149.64
1744755288,-0.0190962,0.287719,0.150635,-3.05973,0.0588017,-86.65,-110.54
1744755288,-0.0190962,0.287719,0.150635,-3.05973,0.0588017,-86.65,-110.54
1744755288,-0.0365132,0.282521,0.149009,-3.02419,0.0775403,-107.19,-89.54
1744755288,-0.0209538,0.282278,0.158859,-3.05452,0.057662,-119.03,-178.77
1744755288,-0.0209538,0.282278,0.158859,-3.05452,0.057662,-119.03,-178.77
1744755288,-0.0141981,0.279742,0.148564,-3.0448,0.0606507,-9.99,-129.18
1744755288,-0.018245,0.289899,0.150776,-3.05758,0.0566026,-85.85,-124.04
1744755288,-0.018245,0.289899,0.150776,-3.05758,0.0566026,-85.85,-124.04
1744755288,-0.0148156,0.282097,0.146579,-3.05666,0.0616945,-52.48,-97.02
1744755288,-0.0138466,0.279507,0.148619,-3.04282,0.0600628,-9.32,-133.59
1744755288,-0.0138466,0.279507,0.148619,-3.04282,0.0600628,-9.32,-133.59
1744755288,-0.0315421,0.288747,0.141709,-3.03985,0.0811201,-97.03,-58.55
1744755288,-0.0383216,0.294297,0.136787,-2.95716,0.0910125,-124.22,-97.99
1744755288,-0.0295045,0.287391,0.14332,-3.0489,0.0758869,-94.35,-62.85
1744755288,-0.0295045,0.287391,0.14332,-3.0489,0.0758869,-94.35,-62.85
1744755288,-0.0202888,0.282994,0.148681,-3.06677,0.0622765,-77.94,-71.66
1744755288,-0.0207153,0.314968,0.121635,-2.68044,0.0952975,-145.11,-93.83
1744755288,-0.0207153,0.314968,0.121635,-2.68044,0.0952975,-145.11,-93.83
1744755288,-0.0125923,0.286798,0.15079,-3.03187,0.0566566,-53.3,-170.77
1744755288,-0.0106518,0.277432,0.149545,-3.0337,0.0583128,-15.46,-204.25
1744755288,-0.0106518,0.277432,0.149545,-3.0337,0.0583128,-15.46,-204.25
1744755288,-0.0178897,0.288518,0.154861,-3.05753,0.0490967,-102.53,-159.05
1744755288,-0.0114462,0.291409,0.148275,-3.04327,0.0528966,-74.33,-177.87
1744755288,-0.0114462,0.291409,0.148275,-3.04327,0.0528966,-74.33,-177.87
1744755288,-0.016831,0.286814,0.149905,-3.04952,0.0600808,-64,-121.85
1744755288,-0.0292377,0.2784,0.1619,-3.05256,0.0551863,-130.77,-151.63
1744755288,-0.0292377,0.2784,0.1619,-3.05256,0.0551863,-130.77,-151.63
1744755288,-0.0249186,0.283358,0.158083,-3.05986,0.0515796,-104.66,-134.73
1744755288,-0.00891249,0.283113,0.149177,-3.03924,0.0547884,-42.91,-208.67
1744755289,-0.00891249,0.283113,0.149177,-3.03924,0.0547884,-42.91,-208.67
1744755289,-0.0151873,0.286635,0.151639,-3.03494,0.0574717,-58.48,-150.43
1744755289,-0.0259808,0.282037,0.158758,-3.05797,0.0540632,-103.04,-126.92
1744755289,-0.0259808,0.282037,0.158758,-3.05797,0.0540632,-103.04,-126.92
1744755289,-0.01595,0.285441,0.148769,-3.0533,0.0606235,-62.92,-111.91
1744755289,-0.0154019,0.284067,0.149405,-3.04411,0.0606528,-47.2,-124.34
1744755289,-0.0154019,0.284067,0.149405,-3.04411,0.0606528,-47.2,-124.34
1744755289,-0.0216326,0.285275,0.158407,-3.05392,0.0544816,-107.71,-154.21
1744755289,-0.0288918,0.278406,0.160487,-3.05645,0.0576838,-107.97,-119.47
1744755289,-0.0288918,0.278406,0.160487,-3.05645,0.0576838,-107.97,-119.47
1744755289,-0.0129875,0.318638,0.121006,-2.26342,0.0994695,-147.85,-79.86
1744755289,-0.0170536,0.291989,0.150626,-3.05076,0.0541696,-88.41,-151.82
1744755289,-0.0170536,0.291989,0.150626,-3.05076,0.0541696,-88.41,-151.82
1744755289,-0.0142978,0.291655,0.149511,-3.043,0.0554173,-73.94,-162.85
1744755289,-0.0294684,0.277963,0.161504,-3.06068,0.0565575,-121.83,-138.26
1744755289,-0.0294684,0.277963,0.161504,-3.06068,0.0565575,-121.83,-138.26
1744755289,-0.0139833,0.285136,0.15143,-3.0334,0.0571216,-49.54,-149.24
1744755289,-0.0158374,0.285388,0.149698,-3.04524,0.0600448,-51.75,-125.61
1744755289,-0.0133275,0.290584,0.150904,-3.05535,0.0495355,-88.64,-179.73
1744755289,-0.0133275,0.290584,0.150904,-3.05535,0.0495355,-88.64,-179.73
1744755289,-0.0211617,0.285822,0.158097,-3.0531,0.0549072,-105.02,-153.72
1744755289,-0.0180498,0.282722,0.146619,-3.0638,0.0628549,-64.64,-78.59
1744755289,-0.0180498,0.282722,0.146619,-3.0638,0.0628549,-64.64,-78.59
1744755289,-0.0153374,0.284821,0.148569,-3.05208,0.060173,-61.8,-112.99
1744755289,-0.0186067,0.280843,0.146118,-3.06762,0.0629002,-64.63,-61.19
1744755289,-0.0186067,0.280843,0.146118,-3.06762,0.0629002,-64.63,-61.19
1744755289,-0.0185589,0.286099,0.149767,-3.05995,0.0606285,-78.95,-103.22
1744755289,-0.0310723,0.279657,0.154243,-3.05079,0.0639828,-98.96,-89.7
1744755289,-0.0310723,0.279657,0.154243,-3.05079,0.0639828,-98.96,-89.7
1744755289,-0.0250801,0.282073,0.157013,-3.06216,0.0542269,-98.83,-111.89
1744755289,-0.0177735,0.318752,0.119504,-2.56718,0.0970708,-150.27,-98.59
1744755289,-0.0177735,0.318752,0.119504,-2.56718,0.0970708,-150.27,-98.59
1744755289,-0.0249929,0.301684,0.12885,-2.8334,0.102548,-121.18,-46.99
1744755289,-0.0176617,0.289824,0.150351,-3.05299,0.0568578,-80.13,-130.38
1744755289,-0.0176617,0.289824,0.150351,-3.05299,0.0568578,-80.13,-130.38
1744755289,-0.0148766,0.279468,0.149757,-3.04081,0.0619171,-30.72,-128.91
1744755289,-0.017209,0.278726,0.144207,-3.07151,0.061623,-52.21,-42.6
1744755289,-0.017209,0.278726,0.144207,-3.07151,0.061623,-52.21,-42.6
1744755289,-0.0253558,0.285677,0.138447,-3.05609,0.078045,-80.74,-28.94
1744755289,-0.019564,0.28604,0.150284,-3.06471,0.0601356,-84.97,-95.44
1744755289,-0.019564,0.28604,0.150284,-3.06471,0.0601356,-84.97,-95.44
1744755289,-0.0361088,0.278727,0.154492,-3.03256,0.0658343,-122.8,-108.5
1744755289,-0.0143984,0.290529,0.151889,-3.0538,0.0497689,-86.82,-172.71
1744755289,-0.0135131,0.291995,0.150094,-3.05347,0.0498971,-85.91,-174.09
1744755289,-0.0135131,0.291995,0.150094,-3.05347,0.0498971,-85.91,-174.09
1744755289,-0.0149702,0.281744,0.150748,-3.03826,0.0606899,-32.54,-134.69
1744755289,-0.014827,0.280796,0.145212,-3.06061,0.0629621,-42.98,-90.37
1744755289,-0.014827,0.280796,0.145212,-3.06061,0.0629621,-42.98,-90.37
1744755289,-0.0136054,0.279203,0.147559,-3.046,0.0595843,-2,-130.01
1744755289,-0.0156814,0.284331,0.147962,-3.05592,0.0607031,-64.24,-103.39
1744755289,-0.0156814,0.284331,0.147962,-3.05592,0.0607031,-64.24,-103.39
1744755289,-0.0160208,0.288229,0.150881,-3.04199,0.0576294,-61.9,-139.63
1744755289,-0.0388853,0.285921,0.145607,-3.00604,0.0783705,-118.44,-95.09
1744755289,-0.0388853,0.285921,0.145607,-3.00604,0.0783705,-118.44,-95.09
1744755289,0.0244335,0.281015,0.114211,0.15445,0.106676,-187.06,-48.47
1744755289,-0.0215334,0.285356,0.15827,-3.05435,0.0540664,-109.13,-155.81
1744755289,-0.0215334,0.285356,0.15827,-3.05435,0.0540664,-109.13,-155.81
1744755289,-0.0139412,0.280233,0.151185,-3.03353,0.0595252,-32.91,-147.06
1744755289,-0.0143911,0.27903,0.148011,-3.04619,0.0620763,-21,-122.81
1744755289,-0.0143911,0.27903,0.148011,-3.04619,0.0620763,-21,-122.81
1744755289,-0.0126688,0.282732,0.151542,-3.02959,0.0583954,-36.01,-165.3
1744755289,-0.0338623,0.292377,0.149217,-3.00225,0.0682505,-139.48,-156.85
1744755289,-0.0338623,0.292377,0.149217,-3.00225,0.0682505,-139.48,-156.85
1744755289,-0.0312278,0.279979,0.158618,-3.04171,0.0591901,-128.56,-139.12
1744755289,-0.0217694,0.283955,0.151004,-3.06717,0.0601025,-86.56,-87.6
1744755290,-0.0217694,0.283955,0.151004,-3.06717,0.0601025,-86.56,-87.6
1744755290,-0.0155744,0.281855,0.149565,-3.04461,0.0623056,-32.28,-123.83
1744755290,-0.0248054,0.283029,0.157171,-3.06186,0.0522613,-101.26,-122.17
1744755290,-0.0248054,0.283029,0.157171,-3.06186,0.0522613,-101.26,-122.17
1744755290,-0.0151629,0.29161,0.15081,-3.05454,0.0496795,-93.2,-167.54
1744755290,-0.0233006,0.284978,0.155652,-3.05983,0.0545765,-96.2,-117.43
1744755290,-0.0233006,0.284978,0.155652,-3.05983,0.0545765,-96.2,-117.43
1744755290,-0.0149324,0.28931,0.150821,-3.03758,0.0566802,-64.66,-156.72
1744755290,-0.0345814,0.297842,0.13735,-2.9715,0.0732299,-150.68,-126.16
1744755290,-0.0345814,0.297842,0.13735,-2.9715,0.0732299,-150.68,-126.16
1744755290,-0.0280469,0.279257,0.159663,-3.05634,0.057099,-103.54,-116.36
1744755290,-0.0175533,0.29103,0.150075,-3.05564,0.0571689,-79.06,-128.51
1744755290,-0.0132167,0.283594,0.151507,-3.0305,0.0580148,-42.25,-158.91
1744755290,-0.0132167,0.283594,0.151507,-3.0305,0.0580148,-42.25,-158.91
1744755290,-0.0144026,0.290855,0.150028,-3.04064,0.0559605,-68.78,-162.24
1744755290,-0.0151126,0.282846,0.150045,-3.03845,0.0602006,-48.86,-130.85
1744755290,-0.0151126,0.282846,0.150045,-3.03845,0.0602006,-48.86,-130.85
1744755290,-0.0181774,0.286142,0.149994,-3.05621,0.0598591,-76.72,-110.34
1744755290,-0.0117896,0.27907,0.150667,-3.03058,0.0595958,-22.57,-182.04
1744755290,-0.0117896,0.27907,0.150667,-3.03058,0.0595958,-22.57,-182.04
1744755290,-0.0138637,0.289518,0.150159,-3.03739,0.0561005,-64.88,-164.16
1744755290,-0.0179979,0.289506,0.154664,-3.05493,0.0514615,-91.12,-152.31
1744755290,-0.0179979,0.289506,0.154664,-3.05493,0.0514615,-91.12,-152.31
1744755290,-0.0122589,0.29186,0.14878,-3.04414,0.0537554,-71.24,-174.34
1744755290,-0.0145248,0.278677,0.142386,-3.0702,0.0627763,-26.5,-76.38
1744755290,-0.0145248,0.278677,0.142386,-3.0702,0.0627763,-26.5,-76.38
1744755290,-0.0146472,0.280238,0.144984,-3.06204,0.0632859,-36.95,-94.05
1744755290,-0.0188288,0.283113,0.1481,-3.06474,0.0617355,-72.65,-74.37
1744755290,-0.0188288,0.283113,0.1481,-3.06474,0.0617355,-72.65,-74.37
1744755290,-0.0181834,0.281282,0.14612,-3.06491,0.0628182,-62.17,-68.34
1744755290,-0.0135802,0.288084,0.150655,-3.03467,0.0565176,-60.71,-167.03
1744755290,-0.0130241,0.287531,0.150765,-3.03381,0.0565284,-55.63,-173.18
1744755290,-0.0130241,0.287531,0.150765,-3.03381,0.0565284,-55.63,-173.18
1744755290,-0.0115656,0.278773,0.150289,-3.03187,0.0593747,-14.13,-189.06
1744755290,-0.0150635,0.285246,0.151758,-3.03359,0.058004,-48.7,-149.72
1744755290,-0.0150635,0.285246,0.151758,-3.03359,0.058004,-48.7,-149.72
1744755290,-0.0122097,0.292093,0.148564,-3.05429,0.0499489,-83.34,-182.56
1744755290,-0.0191808,0.290197,0.151228,-3.05785,0.0546865,-90.15,-130.87
1744755290,-0.0191808,0.290197,0.151228,-3.05785,0.0546865,-90.15,-130.87
1744755290,-0.0163927,0.284548,0.148336,-3.05758,0.0606427,-68.72,-100.41
1744755290,-0.0139545,0.282436,0.151676,-3.03128,0.0585479,-39.61,-152.13
1744755290,-0.0139545,0.282436,0.151676,-3.03128,0.0585479,-39.61,-152.13
1744755290,-0.019032,0.284734,0.149156,-3.06219,0.0621184,-76.92,-90.57
1744755290,-0.0377123,0.290852,0.136983,-2.97866,0.0926529,-118.66,-79.87
1744755290,-0.0377123,0.290852,0.136983,-2.97866,0.0926529,-118.66,-79.87
1744755290,-0.0199531,0.318078,0.122714,-2.65968,0.0926152,-154.04,-113.87
1744755290,-0.0396406,0.289665,0.141139,-2.9944,0.0862611,-114.33,-89.33
1744755290,-0.0396406,0.289665,0.141139,-2.9944,0.0862611,-114.33,-89.33
1744755290,-0.0142516,0.283183,0.151759,-3.03199,0.0584611,-42.5,-149.44
